experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic256m,func1,0.01,1000,0.044,1.0,1202068,0.0,0.0
ours-cpp,stockdata,func1,0.01,1200,0.008,1.0,443524,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.01,800,0.011,1.0,375324,0.0,0.0
ours-cpp,nycdata,minus,0.05,1000,0.028,0.9821,423756,0.027,0.011
ours-cpp,synthetic512m,func1,0.01,1000,0.052,1.0,2190736,0.0,0.0
ours-cpp,synthetic128m,L22,0.01,600,0.045,0.997,938212,0.005,0.001
ours-cpp,synthetic32m,minus,0.01,200,0.012,0.9951,431684,0.005,0.001
ours-cpp,synthetic4m,weightsum,0.1,1200,0.044,0.987,178652,0.045,0.006
ours-cpp,synthetic256m,minus,0.05,200,0.014,0.9893,1088168,0.02,0.004
ours-cpp,synthetic128m,L2LN,0.05,1200,0.152,0.9821,782028,0.035,0.008
ours-cpp,soccerdata,mean,0.0,1000,0.272,1.0,855356,0.0,0.0
ours-cpp,synthetic128m,multi,0.1,600,0.036,0.9757,629996,0.058,0.012
ours-cpp,synthetic32m,boxcox0,0.0,600,0.012,1.0,570708,0.0,0.0
ours-cpp,sensordata,minus,0.1,600,0.033,0.9977,479952,0.004,0.001
ours-cpp,synthetic4m,minus,0.0,1000,0.034,1.0,465772,0.0,0.0
ours-cpp,synthetic8m,L2,0.05,1200,0.053,0.9932,288796,0.029,0.002
ours-cpp,synthetic128m,L2LN,0.0,200,0.062,1.0,1194416,0.0,0.0
ours-cpp,synthetic4m,mean,0.1,600,0.022,0.9808,139052,0.088,0.009
ours-cpp,stockdata,L2,0.01,200,0.011,0.9997,515860,0.0,0.0
ours-cpp,nycdata,max,0.1,600,0.069,0.9718,324840,0.08,0.04
ours-cpp,synthetic64m,divide,0.05,1200,0.053,0.9996,457864,0.016,0.0
ours-cpp,synthetic128m,L22,0.01,1200,0.086,0.9976,945060,0.004,0.001
ours-cpp,soccerdata,multi,0.05,1000,0.033,0.9963,412044,0.008,0.002
ours-cpp,synthetic16m,L2LN,0.05,800,0.061,0.9787,366612,0.033,0.009
ours-cpp,synthetic1b,divide,0.05,800,0.086,0.9994,3712228,0.029,0.0
ours-cpp,synthetic1m,max,0.1,600,0.013,0.9849,143396,0.016,0.008
ours-cpp,synthetic2m,max,0.01,800,0.024,0.9905,360688,0.009,0.005
ours-cpp,synthetic2m,boxcox0,0.01,1000,0.011,1.0,289784,0.0,0.0
ours-cpp,synthetic32m,func1,0.01,400,0.008,1.0,410776,0.0,0.0
ours-cpp,synthetic256m,func1,0.1,1000,0.031,1.0,1057880,0.0,0.0
ours-cpp,nycdata,func1,0.05,1200,0.024,1.0,413988,0.0,0.0
ours-cpp,synthetic64m,multi,0.0,800,0.056,1.0,757488,0.0,0.0
ours-cpp,synthetic8m,plus,0.05,400,0.015,0.9827,215720,0.04,0.008
ours-cpp,nycdata,mean,0.01,600,0.15,0.992,633436,0.009,0.004
ours-cpp,stockdata,multi,0.0,600,0.009,1.0,591168,0.0,0.0
ours-cpp,stockdata,weightsum,0.0,600,0.041,1.0,681216,0.0,0.0
ours-cpp,synthetic64m,L22,0.1,400,0.018,0.9809,416508,0.036,0.009
ours-cpp,synthetic128m,L2LN,0.05,400,0.074,0.9891,768828,0.017,0.004
ours-cpp,synthetic64m,plus,0.1,400,0.027,0.9793,415232,0.053,0.01
ours-cpp,nycdata,func1,0.0,1000,0.024,1.0,791124,0.0,0.0
ours-cpp,synthetic128m,weightsum,0.01,1200,0.21,0.9939,937484,0.008,0.002
ours-cpp,soccerdata,L2,0.0,800,0.211,1.0,919344,0.0,0.0
ours-cpp,synthetic8m,L2,0.05,800,0.042,0.9922,282460,0.031,0.003
ours-cpp,synthetic8m,boxcox0,0.01,800,0.009,1.0,314824,0.0,0.0
ours-cpp,soccerdata,max,0.01,800,0.07,0.9991,648204,0.003,0.001
ours-cpp,synthetic32m,divide,0.0,1000,0.053,1.0,633568,0.0,0.0
ours-cpp,synthetic8m,L22,0.01,200,0.008,0.998,429724,0.004,0.001
ours-cpp,nycdata,max,0.1,1200,0.102,0.9623,330384,0.084,0.042
ours-cpp,synthetic64m,variance,0.01,400,0.072,0.9943,628856,0.009,0.002
ours-cpp,synthetic1m,L2LN,0.05,800,0.014,0.982,265472,0.045,0.008
ours-cpp,synthetic1b,func1,0.0,1000,0.066,1.0,4065648,0.0,0.0
ours-cpp,sensordata,L22,0.0,200,0.034,1.0,980324,0.0,0.0
ours-cpp,synthetic512m,max,0.0,600,0.15,1.0,2624784,0.0,0.0
ours-cpp,synthetic256m,max,0.01,600,0.099,0.9929,1317808,0.007,0.003
ours-cpp,stockdata,L2,0.0,200,0.019,1.0,657732,0.0,0.0
ours-cpp,synthetic512m,minus,0.1,200,0.041,0.9894,1940268,0.029,0.004
ours-cpp,synthetic64m,variance,0.0,600,0.167,1.0,827300,0.0,0.0
ours-cpp,synthetic8m,multi,0.05,200,0.009,0.996,230504,0.007,0.002
ours-cpp,sensordata,minus,0.0,200,0.042,1.0,847392,0.0,0.0
ours-cpp,synthetic1b,divide,0.0,1200,0.195,1.0,4169824,0.0,0.0
ours-cpp,synthetic32m,max,0.05,800,0.06,0.9937,366548,0.006,0.003
ours-cpp,synthetic64m,max,0.1,200,0.019,0.9888,416208,0.012,0.006
ours-cpp,nycdata,L22,0.05,200,0.011,0.9854,533428,0.024,0.009
ours-cpp,synthetic8m,variance,0.1,400,0.038,0.9854,170332,0.05,0.007
ours-cpp,sensordata,boxcox0,0.05,1000,0.035,1.0,527776,0.0,0.0
ours-cpp,synthetic128m,weightsum,0.05,200,0.041,0.988,746996,0.028,0.006
ours-cpp,synthetic128m,L22,0.05,200,0.02,0.9945,759700,0.01,0.002
ours-cpp,synthetic128m,L22,0.1,400,0.049,0.9727,636516,0.077,0.014
ours-cpp,synthetic128m,multi,0.0,1000,0.09,1.0,1025348,0.0,0.0
ours-cpp,synthetic128m,L2,0.01,1200,0.214,0.9964,919704,0.005,0.001
ours-cpp,synthetic4m,boxcox0,0.0,400,0.005,1.0,440452,0.0,0.0
ours-cpp,synthetic512m,func1,0.1,400,0.031,1.0,1938000,0.0,0.0
ours-cpp,synthetic64m,L22,0.0,1000,0.076,1.0,916248,0.0,0.0
ours-cpp,synthetic16m,max,0.1,200,0.012,0.9862,268468,0.018,0.008
ours-cpp,nycdata,mean,0.1,1200,0.144,0.9714,309100,0.066,0.016
ours-cpp,synthetic128m,mean,0.1,1000,0.235,0.9863,632692,0.058,0.006
ours-cpp,synthetic8m,L22,0.0,1000,0.036,1.0,613848,0.0,0.0
ours-cpp,synthetic1m,variance,0.1,1000,0.044,0.9836,140756,0.031,0.007
ours-cpp,synthetic8m,boxcox0,0.1,1200,0.027,1.0,170332,0.0,0.0
ours-cpp,synthetic1b,variance,0.1,800,0.18,0.9843,3606412,0.071,0.007
ours-cpp,synthetic32m,weightsum,0.0,200,0.055,1.0,733972,0.0,0.0
ours-cpp,soccerdata,divide,0.05,400,0.028,0.9692,418380,0.048,0.024
ours-cpp,synthetic64m,L22,0.1,800,0.032,0.9833,416508,0.029,0.008
ours-cpp,soccerdata,max,0.01,1000,0.086,0.9991,650836,0.003,0.001
ours-cpp,synthetic1b,L22,0.01,600,0.086,0.9959,4032788,0.007,0.002
ours-cpp,synthetic512m,max,0.1,800,0.202,0.9914,1944456,0.009,0.004
ours-cpp,synthetic32m,max,0.1,600,0.043,0.9931,309168,0.007,0.003
ours-cpp,synthetic8m,divide,0.05,1200,0.028,0.9952,247868,0.037,0.004
ours-cpp,synthetic8m,max,0.05,400,0.017,0.9921,272496,0.007,0.004
ours-cpp,synthetic1b,divide,0.05,1200,0.094,0.9997,3719092,0.02,0.0
ours-cpp,synthetic1b,L22,0.1,1000,0.106,0.9622,3624532,0.077,0.021
ours-cpp,synthetic16m,boxcox0,0.01,400,0.006,1.0,373740,0.0,0.0
ours-cpp,nycdata,L2LN,0.05,400,0.169,0.9766,548920,0.049,0.021
ours-cpp,synthetic1b,variance,0.0,800,0.428,1.0,4235196,0.0,0.0
ours-cpp,sensordata,L2,0.1,1200,0.138,1.0,501188,0.0,0.0
ours-cpp,synthetic64m,plus,0.05,600,0.035,0.9964,422200,0.008,0.001
ours-cpp,synthetic16m,func1,0.01,600,0.009,1.0,373476,0.0,0.0
ours-cpp,synthetic4m,L2,0.0,1200,0.098,1.0,564852,0.0,0.0
ours-cpp,synthetic32m,plus,0.01,1000,0.049,0.9978,426460,0.004,0.001
ours-cpp,sensordata,divide,0.0,800,0.094,1.0,908092,0.0,0.0
ours-cpp,synthetic512m,func1,0.01,1200,0.048,1.0,2191524,0.0,0.0
ours-cpp,nycdata,mean,0.1,800,0.133,0.9695,295656,0.076,0.019
ours-cpp,synthetic64m,minus,0.05,600,0.028,0.9684,431308,0.043,0.013
ours-cpp,synthetic1m,multi,0.0,1200,0.023,1.0,422180,0.0,0.0
ours-cpp,synthetic64m,func1,0.01,800,0.019,1.0,541840,0.0,0.0
ours-cpp,sensordata,func1,0.01,1200,0.029,1.0,661340,0.0,0.0
ours-cpp,synthetic64m,plus,0.1,800,0.054,0.9821,415232,0.042,0.008
ours-cpp,synthetic8m,L2,0.05,400,0.022,0.9897,278080,0.05,0.004
ours-cpp,sensordata,minus,0.05,400,0.042,0.9983,531296,0.003,0.001
ours-cpp,synthetic1m,weightsum,0.01,200,0.009,0.9942,357048,0.01,0.002
ours-cpp,synthetic8m,max,0.01,200,0.013,0.9998,394916,0.0,0.0
ours-cpp,synthetic64m,func1,0.05,800,0.017,1.0,416508,0.0,0.0
ours-cpp,synthetic4m,max,0.1,1000,0.026,0.9916,158060,0.008,0.004
ours-cpp,synthetic16m,divide,0.1,800,0.026,0.9861,265536,0.085,0.008
ours-cpp,synthetic64m,variance,0.1,400,0.051,0.9834,416208,0.081,0.008
ours-cpp,synthetic64m,plus,0.05,1200,0.053,0.9867,429004,0.029,0.006
ours-cpp,synthetic2m,variance,0.01,200,0.015,0.9912,350700,0.01,0.004
ours-cpp,synthetic32m,variance,0.1,800,0.065,0.984,309168,0.046,0.007
ours-cpp,synthetic4m,variance,0.01,1000,0.059,0.9957,381824,0.007,0.002
ours-cpp,synthetic32m,boxcox0,0.01,1200,0.019,1.0,415264,0.0,0.0
ours-cpp,stockdata,minus,0.01,400,0.006,1.0,449596,0.0,0.0
ours-cpp,synthetic128m,max,0.1,1000,0.274,0.9921,636344,0.007,0.004
ours-cpp,soccerdata,max,0.05,1200,0.074,0.995,472104,0.011,0.004
ours-cpp,sensordata,mean,0.0,600,0.124,1.0,928128,0.0,0.0
ours-cpp,soccerdata,weightsum,0.01,1000,0.097,0.9956,681312,0.009,0.002
ours-cpp,nycdata,plus,0.05,600,0.02,0.9765,414516,0.044,0.014
ours-cpp,synthetic512m,plus,0.0,1200,0.178,1.0,2468208,0.0,0.0
ours-cpp,synthetic8m,L2,0.0,200,0.027,1.0,567920,0.0,0.0
ours-cpp,stockdata,variance,0.01,1000,0.043,1.0,504772,0.0,0.0
ours-cpp,nycdata,max,0.01,600,0.082,0.9994,669232,0.001,0.0
ours-cpp,synthetic64m,minus,0.01,600,0.032,0.9969,563796,0.006,0.001
ours-cpp,synthetic1m,plus,0.01,1200,0.014,0.9949,285000,0.008,0.002
ours-cpp,nycdata,func1,0.0,1200,0.026,1.0,791124,0.0,0.0
ours-cpp,synthetic1m,boxcox0,0.1,1000,0.011,1.0,96560,0.0,0.0
ours-cpp,synthetic4m,divide,0.05,1200,0.019,0.9899,237748,0.021,0.008
ours-cpp,synthetic512m,divide,0.05,1000,0.164,0.9998,2068416,0.001,0.0
ours-cpp,soccerdata,boxcox0,0.1,600,0.014,1.0,244452,0.0,0.0
ours-cpp,synthetic512m,L22,0.1,800,0.082,0.9834,1971000,0.035,0.008
ours-cpp,synthetic512m,weightsum,0.01,1000,0.373,0.9969,2391616,0.006,0.001
ours-cpp,nycdata,plus,0.1,1200,0.031,0.9736,259068,0.05,0.016
ours-cpp,synthetic8m,divide,0.0,1000,0.038,1.0,506920,0.0,0.0
ours-cpp,synthetic2m,minus,0.05,1200,0.023,0.9943,208548,0.016,0.002
ours-cpp,synthetic4m,weightsum,0.1,600,0.022,0.9843,170732,0.073,0.007
ours-cpp,sensordata,minus,0.05,800,0.057,0.998,533068,0.004,0.001
ours-cpp,synthetic256m,minus,0.0,800,0.092,1.0,1426888,0.0,0.0
ours-cpp,soccerdata,plus,0.01,1000,0.03,0.9997,567716,0.0,0.0
ours-cpp,synthetic512m,max,0.1,200,0.055,0.9859,1944456,0.018,0.008
ours-cpp,synthetic16m,L22,0.1,400,0.016,0.9612,268468,0.077,0.021
ours-cpp,synthetic1m,divide,0.0,1200,0.021,1.0,432460,0.0,0.0
ours-cpp,synthetic128m,plus,0.05,200,0.016,0.989,644056,0.023,0.005
ours-cpp,synthetic16m,plus,0.05,800,0.03,0.9938,269848,0.011,0.002
ours-cpp,synthetic1b,func1,0.0,400,0.03,1.0,4065516,0.0,0.0
ours-cpp,synthetic64m,mean,0.05,1000,0.137,0.9903,474536,0.017,0.004
ours-cpp,synthetic4m,divide,0.1,200,0.004,0.9906,129812,0.098,0.006
ours-cpp,nycdata,max,0.05,400,0.062,0.9995,488284,0.001,0.0
ours-cpp,synthetic1m,boxcox0,0.01,200,0.002,1.0,271280,0.0,0.0
ours-cpp,synthetic1b,L2,0.0,200,0.117,1.0,4268860,0.0,0.0
ours-cpp,synthetic4m,variance,0.05,200,0.013,0.9877,255932,0.024,0.006
ours-cpp,synthetic16m,plus,0.05,1200,0.044,0.9946,272320,0.009,0.002
ours-cpp,synthetic16m,variance,0.01,1000,0.111,0.9945,460680,0.008,0.002
ours-cpp,synthetic8m,multi,0.01,400,0.011,0.9968,340848,0.005,0.001
ours-cpp,synthetic16m,variance,0.0,600,0.092,1.0,625392,0.0,0.0
ours-cpp,soccerdata,weightsum,0.0,1000,0.216,1.0,959732,0.0,0.0
ours-cpp,synthetic128m,L22,0.1,200,0.035,0.9945,636516,0.01,0.002
ours-cpp,sensordata,mean,0.1,200,0.052,0.9998,501188,0.001,0.0
ours-cpp,sensordata,L22,0.1,800,0.055,0.9743,503740,0.037,0.018
ours-cpp,synthetic8m,variance,0.01,600,0.045,0.9962,383348,0.007,0.001
ours-cpp,synthetic256m,L2LN,0.05,1000,0.21,0.9897,1197876,0.02,0.005
ours-cpp,synthetic32m,divide,0.0,1200,0.059,1.0,638580,0.0,0.0
ours-cpp,soccerdata,multi,0.05,800,0.028,0.9958,409140,0.009,0.002
ours-cpp,sensordata,divide,0.01,800,0.047,0.9963,714608,0.005,0.002
ours-cpp,synthetic32m,divide,0.05,600,0.027,0.9996,333396,0.001,0.0
ours-cpp,synthetic64m,variance,0.01,200,0.038,0.9946,627216,0.009,0.002
ours-cpp,nycdata,variance,0.01,800,0.124,0.996,657436,0.006,0.002
ours-cpp,synthetic2m,L2LN,0.0,1200,0.087,1.0,572504,0.0,0.0
ours-cpp,synthetic32m,divide,0.01,600,0.029,0.9996,458564,0.001,0.0
ours-cpp,synthetic512m,func1,0.0,600,0.031,1.0,2432824,0.0,0.0
ours-cpp,synthetic8m,plus,0.01,800,0.022,0.9978,322848,0.004,0.001
ours-cpp,synthetic2m,func1,0.05,800,0.007,1.0,186612,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.05,200,0.003,1.0,268468,0.0,0.0
ours-cpp,synthetic32m,variance,0.05,400,0.05,0.991,357044,0.021,0.004
ours-cpp,sensordata,multi,0.05,600,0.06,0.9719,544564,0.04,0.019
ours-cpp,synthetic64m,max,0.01,400,0.047,0.991,645592,0.009,0.004
ours-cpp,synthetic64m,variance,0.01,1200,0.181,0.9947,644532,0.009,0.002
ours-cpp,synthetic1m,func1,0.1,400,0.005,1.0,96560,0.0,0.0
ours-cpp,synthetic1m,mean,0.1,800,0.019,0.9779,127616,0.076,0.011
ours-cpp,stockdata,weightsum,0.1,1000,0.045,0.9997,284252,0.0,0.0
ours-cpp,synthetic16m,divide,0.0,800,0.034,1.0,581664,0.0,0.0
ours-cpp,synthetic32m,L2LN,0.1,1000,0.079,0.9893,309468,0.016,0.004
ours-cpp,synthetic4m,plus,0.1,1200,0.019,0.9775,112976,0.069,0.01
ours-cpp,synthetic16m,variance,0.05,400,0.04,0.9835,312296,0.036,0.008
ours-cpp,sensordata,boxcox0,0.01,600,0.015,1.0,661340,0.0,0.0
ours-cpp,synthetic32m,L2LN,0.1,200,0.017,0.9841,309468,0.032,0.007
ours-cpp,synthetic8m,minus,0.0,200,0.009,1.0,471632,0.0,0.0
ours-cpp,stockdata,L2LN,0.01,800,0.062,0.9944,561076,0.009,0.003
ours-cpp,synthetic32m,L22,0.1,600,0.024,0.9866,309468,0.025,0.006
ours-cpp,sensordata,variance,0.01,800,0.108,1.0,736148,0.0,0.0
ours-cpp,synthetic256m,plus,0.0,1000,0.117,1.0,1412296,0.0,0.0
ours-cpp,nycdata,mean,0.0,1200,0.29,1.0,878376,0.0,0.0
ours-cpp,synthetic1m,divide,0.01,400,0.005,0.9995,302948,0.001,0.0
ours-cpp,sensordata,func1,0.0,200,0.009,1.0,821940,0.0,0.0
ours-cpp,synthetic8m,max,0.1,400,0.032,0.9921,170332,0.007,0.004
ours-cpp,sensordata,mean,0.05,1000,0.119,0.9999,576420,0.001,0.0
ours-cpp,synthetic1m,plus,0.01,1000,0.012,0.9952,282888,0.009,0.002
ours-cpp,synthetic32m,L2,0.1,1000,0.078,0.9891,309468,0.028,0.005
ours-cpp,synthetic2m,boxcox0,0.0,200,0.002,1.0,412020,0.0,0.0
ours-cpp,synthetic128m,L2,0.05,400,0.071,0.9889,733940,0.021,0.005
ours-cpp,synthetic1b,weightsum,0.01,200,0.103,0.9948,4007968,0.008,0.002
ours-cpp,synthetic8m,max,0.05,1000,0.04,0.9947,274872,0.004,0.002
ours-cpp,synthetic2m,L22,0.01,200,0.007,0.9982,391532,0.008,0.001
ours-cpp,synthetic1m,mean,0.01,600,0.024,0.9937,315612,0.008,0.002
ours-cpp,nycdata,L2LN,0.0,800,0.636,1.0,1023600,0.0,0.0
ours-cpp,nycdata,weightsum,0.0,200,0.062,1.0,935180,0.0,0.0
ours-cpp,synthetic4m,divide,0.05,800,0.014,0.9871,233788,0.024,0.01
ours-cpp,synthetic256m,func1,0.0,600,0.026,1.0,1390404,0.0,0.0
ours-cpp,synthetic512m,plus,0.01,1000,0.156,0.9971,2215836,0.006,0.001
ours-cpp,synthetic8m,minus,0.0,1200,0.053,1.0,485748,0.0,0.0
ours-cpp,nycdata,L2LN,0.05,800,0.254,0.9732,571144,0.049,0.021
ours-cpp,synthetic64m,plus,0.01,400,0.023,0.9957,549144,0.01,0.002
ours-cpp,synthetic128m,boxcox0,0.01,1000,0.028,1.0,785724,0.0,0.0
ours-cpp,nycdata,weightsum,0.01,1000,0.151,0.995,706912,0.005,0.002
ours-cpp,stockdata,variance,0.0,800,0.036,1.0,642012,0.0,0.0
ours-cpp,soccerdata,variance,0.1,600,0.07,0.9993,284500,0.001,0.0
ours-cpp,soccerdata,L2LN,0.05,800,0.208,0.9736,537028,0.049,0.021
ours-cpp,synthetic64m,mean,0.05,400,0.056,0.9872,460728,0.024,0.006
ours-cpp,synthetic128m,plus,0.1,400,0.051,0.9725,629996,0.09,0.014
ours-cpp,synthetic4m,L2,0.1,1000,0.037,0.9876,167564,0.038,0.005
ours-cpp,synthetic512m,multi,0.05,600,0.073,0.996,2042448,0.009,0.001
ours-cpp,soccerdata,L2LN,0.1,800,0.161,0.9553,367080,0.099,0.041
ours-cpp,synthetic4m,boxcox0,0.1,1200,0.01,1.0,106428,0.0,0.0
ours-cpp,synthetic1b,variance,0.01,1200,0.421,0.9943,3978192,0.008,0.002
ours-cpp,synthetic1b,L2,0.01,1000,0.433,0.9961,4001732,0.009,0.001
ours-cpp,synthetic256m,max,0.01,1200,0.173,0.9943,1323300,0.005,0.002
ours-cpp,synthetic8m,boxcox0,0.05,200,0.005,1.0,208988,0.0,0.0
ours-cpp,synthetic1b,func1,0.1,800,0.037,1.0,3598040,0.0,0.0
ours-cpp,synthetic256m,variance,0.05,800,0.194,0.9857,1140332,0.046,0.006
ours-cpp,soccerdata,multi,0.01,400,0.016,0.9988,580576,0.001,0.001
ours-cpp,synthetic1m,mean,0.01,1000,0.034,0.9943,323004,0.007,0.002
ours-cpp,synthetic2m,L2LN,0.05,600,0.021,0.9873,278960,0.042,0.006
ours-cpp,synthetic4m,L22,0.05,600,0.017,0.9947,291956,0.008,0.002
ours-cpp,synthetic4m,boxcox0,0.05,1000,0.009,1.0,200184,0.0,0.0
ours-cpp,soccerdata,func1,0.05,1200,0.018,1.0,385096,0.0,0.0
ours-cpp,synthetic256m,boxcox0,0.01,600,0.023,1.0,1202820,0.0,0.0
ours-cpp,stockdata,L22,0.1,600,0.011,1.0,288740,0.0,0.0
ours-cpp,synthetic512m,minus,0.01,1200,0.138,0.9881,2241268,0.008,0.002
ours-cpp,synthetic2m,plus,0.01,800,0.018,0.9968,298224,0.01,0.001
ours-cpp,synthetic1m,mean,0.0,600,0.038,1.0,438668,0.0,0.0
ours-cpp,synthetic512m,boxcox0,0.01,400,0.02,1.0,2192052,0.0,0.0
ours-cpp,synthetic16m,divide,0.1,400,0.017,0.9991,262156,0.002,0.0
ours-cpp,stockdata,L2LN,0.0,200,0.03,1.0,697444,0.0,0.0
ours-cpp,synthetic256m,divide,0.05,1000,0.06,0.9986,1116172,0.017,0.0
ours-cpp,synthetic256m,L2,0.0,1000,0.353,1.0,1580252,0.0,0.0
ours-cpp,synthetic64m,max,0.01,1200,0.111,0.994,650104,0.005,0.003
ours-cpp,soccerdata,func1,0.05,600,0.011,1.0,385096,0.0,0.0
ours-cpp,synthetic4m,mean,0.05,400,0.02,0.9824,240124,0.037,0.009
ours-cpp,synthetic256m,variance,0.1,400,0.106,0.9851,1060772,0.061,0.007
ours-cpp,synthetic1b,boxcox0,0.0,400,0.02,1.0,4066604,0.0,0.0
ours-cpp,synthetic128m,plus,0.01,200,0.016,0.9954,788040,0.008,0.002
ours-cpp,synthetic4m,L2,0.1,200,0.009,0.9867,160700,0.026,0.006
ours-cpp,stockdata,divide,0.05,600,0.009,0.9766,338252,0.035,0.014
ours-cpp,synthetic1m,max,0.0,800,0.015,1.0,469440,0.0,0.0
ours-cpp,synthetic32m,func1,0.05,600,0.011,1.0,309468,0.0,0.0
ours-cpp,synthetic32m,multi,0.05,800,0.032,0.9706,327068,0.049,0.017
ours-cpp,synthetic512m,L2LN,0.05,800,0.205,0.9885,2181456,0.022,0.005
ours-cpp,synthetic2m,L2,0.01,1000,0.048,0.9948,374912,0.007,0.002
ours-cpp,synthetic16m,variance,0.0,1000,0.149,1.0,636656,0.0,0.0
ours-cpp,synthetic512m,mean,0.0,600,0.311,1.0,2555876,0.0,0.0
ours-cpp,synthetic2m,L2,0.1,1200,0.03,0.9886,161312,0.043,0.005
ours-cpp,synthetic1m,weightsum,0.0,1200,0.052,1.0,505820,0.0,0.0
ours-cpp,synthetic128m,plus,0.0,400,0.045,1.0,975640,0.0,0.0
ours-cpp,synthetic512m,minus,0.01,600,0.082,0.9879,2224132,0.009,0.003
ours-cpp,synthetic4m,L2LN,0.1,600,0.026,0.9859,188948,0.046,0.006
ours-cpp,synthetic128m,L2LN,0.05,1000,0.131,0.9794,778068,0.039,0.009
ours-cpp,stockdata,L2,0.01,600,0.029,0.9998,518764,0.0,0.0
ours-cpp,synthetic128m,L2,0.0,600,0.168,1.0,1129180,0.0,0.0
ours-cpp,sensordata,variance,0.0,1200,0.239,1.0,949532,0.0,0.0
ours-cpp,sensordata,L2LN,0.0,1000,0.515,1.0,1069024,0.0,0.0
ours-cpp,synthetic4m,minus,0.1,600,0.01,0.9635,114032,0.079,0.016
ours-cpp,synthetic1b,boxcox0,0.05,400,0.018,1.0,3647700,0.0,0.0
ours-cpp,synthetic128m,boxcox0,0.05,1000,0.03,1.0,641944,0.0,0.0
ours-cpp,soccerdata,variance,0.05,600,0.066,0.9993,454996,0.001,0.0
ours-cpp,synthetic1m,divide,0.1,800,0.011,0.9885,118904,0.035,0.006
ours-cpp,synthetic4m,variance,0.1,1200,0.038,0.9858,155420,0.043,0.006
ours-cpp,soccerdata,multi,0.01,800,0.027,0.9958,583744,0.009,0.002
ours-cpp,synthetic1b,weightsum,0.1,1000,0.24,0.9865,3617564,0.06,0.006
ours-cpp,nycdata,divide,0.05,200,0.008,0.9765,431932,0.036,0.016
ours-cpp,synthetic16m,variance,0.01,1200,0.133,0.9948,466748,0.008,0.002
ours-cpp,synthetic1m,boxcox0,0.05,1200,0.006,1.0,181084,0.0,0.0
ours-cpp,synthetic1b,L22,0.01,1000,0.149,0.9966,4036244,0.006,0.001
ours-cpp,synthetic32m,mean,0.05,200,0.024,0.9877,341040,0.029,0.006
ours-cpp,synthetic512m,func1,0.1,600,0.039,1.0,1938000,0.0,0.0
ours-cpp,synthetic4m,L22,0.0,1000,0.033,1.0,586228,0.0,0.0
ours-cpp,sensordata,divide,0.01,200,0.012,0.9992,708844,0.001,0.0
ours-cpp,synthetic32m,func1,0.0,600,0.014,1.0,569996,0.0,0.0
ours-cpp,synthetic256m,L2LN,0.0,1200,0.346,1.0,1660640,0.0,0.0
ours-cpp,synthetic32m,variance,0.01,1200,0.138,0.9946,506664,0.01,0.002
ours-cpp,stockdata,minus,0.1,400,0.005,1.0,192160,0.0,0.0
ours-cpp,synthetic512m,L2LN,0.1,200,0.052,0.9829,1978124,0.04,0.009
ours-cpp,synthetic64m,L2LN,0.1,1200,0.113,0.9911,416508,0.021,0.004
ours-cpp,nycdata,L22,0.05,600,0.021,0.9883,533428,0.018,0.007
ours-cpp,synthetic1b,variance,0.1,200,0.063,0.9845,3606412,0.028,0.008
ours-cpp,synthetic1m,L22,0.0,400,0.01,1.0,506348,0.0,0.0
ours-cpp,synthetic4m,minus,0.05,1200,0.025,0.9949,221660,0.012,0.002
ours-cpp,synthetic2m,boxcox0,0.05,400,0.004,1.0,187140,0.0,0.0
ours-cpp,synthetic64m,boxcox0,0.05,1000,0.02,1.0,416508,0.0,0.0
ours-cpp,stockdata,variance,0.05,1000,0.044,1.0,374992,0.0,0.0
ours-cpp,synthetic64m,func1,0.0,400,0.011,1.0,709192,0.0,0.0
ours-cpp,soccerdata,func1,0.0,800,0.015,1.0,743804,0.0,0.0
ours-cpp,synthetic4m,weightsum,0.05,1000,0.044,0.9914,288788,0.014,0.003
ours-cpp,synthetic512m,mean,0.05,200,0.099,0.9823,2073788,0.038,0.009
ours-cpp,synthetic256m,mean,0.1,400,0.098,0.9879,1058892,0.056,0.005
ours-cpp,sensordata,variance,0.1,600,0.096,0.9997,501188,0.0,0.0
ours-cpp,synthetic512m,L2,0.1,400,0.102,0.9789,1944456,0.064,0.01
ours-cpp,stockdata,variance,0.0,1200,0.05,1.0,649916,0.0,0.0
ours-cpp,synthetic1b,boxcox0,0.01,1000,0.051,1.0,3840068,0.0,0.0
ours-cpp,synthetic1b,L2,0.05,1000,0.266,0.9918,3782848,0.028,0.003
ours-cpp,synthetic16m,L2LN,0.01,200,0.021,0.9954,508568,0.008,0.002
ours-cpp,synthetic128m,multi,0.1,800,0.049,0.9763,629996,0.062,0.012
ours-cpp,synthetic1b,L2LN,0.0,800,0.427,1.0,4368836,0.0,0.0
ours-cpp,synthetic512m,weightsum,0.1,1200,0.223,0.9913,1970736,0.03,0.003
ours-cpp,synthetic32m,multi,0.01,200,0.01,0.9967,443556,0.006,0.001
ours-cpp,stockdata,L2LN,0.1,200,0.017,0.9722,290588,0.067,0.019
ours-cpp,synthetic512m,L22,0.1,200,0.025,0.977,1971000,0.059,0.012
