method,data,function,width,sqltime,memory(GB)
DUCK-F-AM4,synthetic1m,devide,1200,0.026,0.2307472229003906
DUCK-F-AM4,synthetic1m,func1,1200,0.037,0.2643089294433594
DUCK-F-AM4,synthetic1m,L22,1200,0.048,0.2679328918457031
DUCK-F-AM4,synthetic1m,L2LN,1200,0.073,0.2379531860351562
DUCK-F-AM4,synthetic1m,L2,1200,0.05,0.2464332580566406
DUCK-F-AM4,synthetic1m,max,1200,0.05,0.2361297607421875
DUCK-F-AM4,synthetic1m,mean,1200,0.032,0.2433891296386718
DUCK-F-AM4,synthetic1m,minus,1200,0.024,0.2461776733398437
DUCK-F-AM4,synthetic1m,multi,1200,0.04,0.256317138671875
DUCK-F-AM4,synthetic1m,plus,1200,0.023,0.2375450134277343
DUCK-F-AM4,synthetic1m,variance,1200,0.058,0.2579421997070312
DUCK-F-AM4,synthetic1m,weightsum,1200,0.034,0.2589569091796875
DUCK-F-AM4,synthetic256m,boxcox0,1200,1.482,4.3969268798828125
DUCK-F-AM4,synthetic256m,devide,1200,1.511,3.8986587524414062
DUCK-F-AM4,synthetic256m,func1,1200,1.629,3.583930969238281
DUCK-F-AM4,synthetic256m,L22,1200,1.823,3.09521484375
DUCK-F-AM4,synthetic256m,L2LN,1200,3.596,4.674533843994141
DUCK-F-AM4,synthetic256m,L2,1200,2.669,10.238792419433594
DUCK-F-AM4,synthetic256m,max,1200,2.198,8.649040222167969
DUCK-F-AM4,synthetic256m,mean,1200,1.79,5.480945587158203
DUCK-F-AM4,synthetic256m,minus,1200,1.603,1.4995079040527344
DUCK-F-AM4,synthetic256m,multi,1200,1.427,2.6945838928222656
DUCK-F-AM4,synthetic256m,plus,1200,1.51,5.608318328857422
DUCK-F-AM4,synthetic256m,variance,1200,3.42,7.070697784423828
DUCK-F-AM4,synthetic256m,weightsum,1200,1.748,3.461631774902344
DUCK-F-AM4,synthetic2m,boxcox0,1200,0.049,0.2658615112304687
DUCK-F-AM4,synthetic2m,devide,1200,0.045,0.2875556945800781
DUCK-F-AM4,synthetic2m,func1,1200,0.044,0.2535934448242187
DUCK-F-AM4,synthetic2m,L22,1200,0.049,0.2850723266601562
DUCK-F-AM4,synthetic2m,L2LN,1200,0.119,0.2431373596191406
DUCK-F-AM4,synthetic2m,L2,1200,0.074,0.2518959045410156
DUCK-F-AM4,synthetic2m,max,1200,0.051,0.2851943969726562
DUCK-F-AM4,synthetic2m,mean,1200,0.05,0.2533645629882812
DUCK-F-AM4,synthetic2m,minus,1200,0.048,0.2571029663085937
DUCK-F-AM4,synthetic2m,multi,1200,0.036,0.272064208984375
DUCK-F-AM4,synthetic2m,plus,1200,0.037,0.2440681457519531
DUCK-F-AM4,synthetic2m,variance,1200,0.087,0.275909423828125
DUCK-F-AM4,synthetic2m,weightsum,1200,0.047,0.2696266174316406
DUCK-F-AM4,synthetic32m,boxcox0,1200,0.257,0.8558807373046875
DUCK-F-AM4,synthetic32m,devide,1200,0.271,0.870086669921875
DUCK-F-AM4,synthetic32m,func1,1200,0.3,0.762908935546875
DUCK-F-AM4,synthetic32m,L22,1200,0.333,0.979045867919922
DUCK-F-AM4,synthetic32m,L2LN,1200,0.682,1.1834983825683594
DUCK-F-AM4,synthetic32m,L2,1200,0.518,0.6454544067382812
